experiment,method,seed,step,loss
drift,lambda_fixed_1,0,225,0.1019255518913269
drift,lambda_fixed_1,0,240,0.09433971345424652
drift,lambda_fixed_1,0,255,0.09459060430526733
drift,lambda_fixed_1,0,270,0.09874233603477478
drift,lambda_fixed_1,0,285,0.10244695842266083
drift,lambda_fixed_1,0,300,0.10064910352230072
drift,lambda_fixed_1,0,315,0.09815309941768646
drift,lambda_fixed_1,0,330,0.09764095395803452
drift,lambda_fixed_1,0,345,0.0966482162475586
drift,lambda_fixed_1,0,360,0.10090448707342148
drift,lambda_fixed_0.95,0,1,0.22809430956840515
drift,lambda_fixed_0.95,0,15,0.1950446367263794
drift,lambda_fixed_0.95,0,30,0.189428448677063
drift,lambda_fixed_0.95,0,45,0.16732196509838104
drift,lambda_fixed_0.95,0,60,0.13556021451950073
drift,lambda_fixed_0.95,0,75,0.1260802149772644
drift,lambda_fixed_0.95,0,90,0.10172539204359055
drift,lambda_fixed_0.95,0,105,0.0992070659995079
drift,lambda_fixed_0.95,0,120,0.08873578161001205
drift,lambda_fixed_0.95,0,135,0.09226904809474945
drift,lambda_fixed_0.95,0,150,0.08495493978261948
drift,lambda_fixed_0.95,0,165,0.0888880044221878
drift,lambda_fixed_0.95,0,180,0.08499085158109665
drift,lambda_fixed_0.95,0,195,0.09027795493602753
drift,lambda_fixed_0.95,0,210,0.08498041331768036
drift,lambda_fixed_0.95,0,225,0.09125687927007675
drift,lambda_fixed_0.95,0,240,0.08644700050354004
drift,lambda_fixed_0.95,0,255,0.0880545973777771
drift,lambda_fixed_0.95,0,270,0.08743530511856079
drift,lambda_fixed_0.95,0,285,0.08641685545444489
drift,lambda_fixed_0.95,0,300,0.08894716203212738
drift,lambda_fixed_0.95,0,315,0.08885635435581207
drift,lambda_fixed_0.95,0,330,0.08231882750988007
drift,lambda_fixed_0.95,0,345,0.09255346655845642
drift,lambda_fixed_0.95,0,360,0.08589541912078857
drift,lambda_fixed_0.8,0,1,0.18325379490852356
drift,lambda_fixed_0.8,0,15,0.16997544467449188
drift,lambda_fixed_0.8,0,30,0.14139670133590698
drift,lambda_fixed_0.8,0,45,0.11535227298736572
drift,lambda_fixed_0.8,0,60,0.0977776050567627
drift,lambda_fixed_0.8,0,75,0.07953988015651703
drift,lambda_fixed_0.8,0,90,0.06819261610507965
drift,lambda_fixed_0.8,0,105,0.06563451141119003
drift,lambda_fixed_0.8,0,120,0.05950646102428436
drift,lambda_fixed_0.8,0,135,0.05646153539419174
drift,lambda_fixed_0.8,0,150,0.04947661608457565
drift,lambda_fixed_0.8,0,165,0.05458056554198265
drift,lambda_fixed_0.8,0,180,0.058846764266490936
drift,lambda_fixed_0.8,0,195,0.06256117671728134
drift,lambda_fixed_0.8,0,210,0.0556725338101387
drift,lambda_fixed_0.8,0,225,0.05671358108520508
drift,lambda_fixed_0.8,0,240,0.057132475078105927
drift,lambda_fixed_0.8,0,255,0.059317152947187424
drift,lambda_fixed_0.8,0,270,0.060406677424907684
drift,lambda_fixed_0.8,0,285,0.053593944758176804
drift,lambda_fixed_0.8,0,300,0.06665362417697906
drift,lambda_fixed_0.8,0,315,0.060501232743263245
drift,lambda_fixed_0.8,0,330,0.05934392660856247
drift,lambda_fixed_0.8,0,345,0.05816923826932907
drift,lambda_fixed_0.8,0,360,0.05780695006251335
drift,lambda_learned_cue,0,1,0.18216753005981445
drift,lambda_learned_cue,0,15,0.17420808970928192
drift,lambda_learned_cue,0,30,0.1598743200302124
drift,lambda_learned_cue,0,45,0.1344510316848755
drift,lambda_learned_cue,0,60,0.10823869705200195
drift,lambda_learned_cue,0,75,0.09248926490545273
drift,lambda_learned_cue,0,90,0.07720034569501877
drift,lambda_learned_cue,0,105,0.0639849305152893
drift,lambda_learned_cue,0,120,0.054066240787506104
drift,lambda_learned_cue,0,135,0.047803085297346115
drift,lambda_learned_cue,0,150,0.038599301129579544
drift,lambda_learned_cue,0,165,0.039031390100717545
drift,lambda_learned_cue,0,180,0.033454179763793945
drift,lambda_learned_cue,0,195,0.03679541498422623
drift,lambda_learned_cue,0,210,0.030286818742752075
drift,lambda_learned_cue,0,225,0.03241729736328125
drift,lambda_learned_cue,0,240,0.030603207647800446
drift,lambda_learned_cue,0,255,0.03076774626970291
drift,lambda_learned_cue,0,270,0.02736740931868553
drift,lambda_learned_cue,0,285,0.027253663167357445
drift,lambda_learned_cue,0,300,0.02891751378774643
drift,lambda_learned_cue,0,315,0.02702210657298565
drift,lambda_learned_cue,0,330,0.025308504700660706
drift,lambda_learned_cue,0,345,0.02720779925584793
drift,lambda_learned_cue,0,360,0.027543753385543823
drift,lambda_innovation_ablation,0,1,0.22806672751903534
drift,lambda_innovation_ablation,0,15,0.20665064454078674
drift,lambda_innovation_ablation,0,30,0.18999962508678436
drift,lambda_innovation_ablation,0,45,0.1675502061843872
drift,lambda_innovation_ablation,0,60,0.13925670087337494
drift,lambda_innovation_ablation,0,75,0.10270263999700546
drift,lambda_innovation_ablation,0,90,0.08980594575405121
drift,lambda_innovation_ablation,0,105,0.07781614363193512
drift,lambda_innovation_ablation,0,120,0.06337955594062805
drift,lambda_innovation_ablation,0,135,0.055065594613552094
drift,lambda_innovation_ablation,0,150,0.05061137303709984
drift,lambda_innovation_ablation,0,165,0.05193532630801201
drift,lambda_innovation_ablation,0,180,0.0553150400519371
drift,lambda_innovation_ablation,0,195,0.05407071113586426
drift,lambda_innovation_ablation,0,210,0.04932915419340134
drift,lambda_innovation_ablation,0,225,0.044979434460401535
drift,lambda_innovation_ablation,0,240,0.05620661377906799
drift,lambda_innovation_ablation,0,255,0.05065793916583061
drift,lambda_innovation_ablation,0,270,0.043727807700634
drift,lambda_innovation_ablation,0,285,0.04347984120249748
drift,lambda_innovation_ablation,0,300,0.04125571250915527
drift,lambda_innovation_ablation,0,315,0.038324251770973206
drift,lambda_innovation_ablation,0,330,0.04294520244002342
drift,lambda_innovation_ablation,0,345,0.038786422461271286
drift,lambda_innovation_ablation,0,360,0.03537338227033615
drift,lambda_oracle_change,0,1,0.2058468759059906
drift,lambda_oracle_change,0,15,0.17693591117858887
drift,lambda_oracle_change,0,30,0.13211101293563843
drift,lambda_oracle_change,0,45,0.11131416261196136
drift,lambda_oracle_change,0,60,0.08403700590133667
drift,lambda_oracle_change,0,75,0.06437951326370239
drift,lambda_oracle_change,0,90,0.0592058002948761
drift,lambda_oracle_change,0,105,0.046786896884441376
drift,lambda_oracle_change,0,120,0.0422155037522316
drift,lambda_oracle_change,0,135,0.043471142649650574
drift,lambda_oracle_change,0,150,0.03540589660406113
drift,lambda_oracle_change,0,165,0.03190809488296509
drift,lambda_oracle_change,0,180,0.02541106566786766
drift,lambda_oracle_change,0,195,0.025739941745996475
drift,lambda_oracle_change,0,210,0.026470912620425224
drift,lambda_oracle_change,0,225,0.02718208357691765
drift,lambda_oracle_change,0,240,0.026563970372080803
drift,lambda_oracle_change,0,255,0.024997597560286522
drift,lambda_oracle_change,0,270,0.02559049427509308
drift,lambda_oracle_change,0,285,0.027702387422323227
drift,lambda_oracle_change,0,300,0.027834251523017883
drift,lambda_oracle_change,0,315,0.02500816248357296
drift,lambda_oracle_change,0,330,0.027552850544452667
drift,lambda_oracle_change,0,345,0.027503198012709618
drift,lambda_oracle_change,0,360,0.026425480842590332
drift,lambda_fixed_1,1,1,0.23879194259643555
drift,lambda_fixed_1,1,15,0.2071661651134491
drift,lambda_fixed_1,1,30,0.18992936611175537
drift,lambda_fixed_1,1,45,0.17839586734771729
drift,lambda_fixed_1,1,60,0.14818406105041504
drift,lambda_fixed_1,1,75,0.13914088904857635
drift,lambda_fixed_1,1,90,0.11914275586605072
drift,lambda_fixed_1,1,105,0.12119954824447632
drift,lambda_fixed_1,1,120,0.11768227070569992
drift,lambda_fixed_1,1,135,0.10515152662992477
drift,lambda_fixed_1,1,150,0.10260387510061264
drift,lambda_fixed_1,1,165,0.10169818997383118
drift,lambda_fixed_1,1,180,0.0982789546251297
drift,lambda_fixed_1,1,195,0.09459663927555084
drift,lambda_fixed_1,1,210,0.10529812425374985
drift,lambda_fixed_1,1,225,0.0949859768152237
drift,lambda_fixed_1,1,240,0.10128100216388702
drift,lambda_fixed_1,1,255,0.09881799668073654
drift,lambda_fixed_1,1,270,0.0939638614654541
drift,lambda_fixed_1,1,285,0.09966672956943512
drift,lambda_fixed_1,1,300,0.09904599189758301
drift,lambda_fixed_1,1,315,0.09697771072387695
drift,lambda_fixed_1,1,330,0.10010921955108643
drift,lambda_fixed_1,1,345,0.10326887667179108
drift,lambda_fixed_1,1,360,0.0982692763209343
drift,lambda_fixed_0.95,1,1,0.2252507507801056
drift,lambda_fixed_0.95,1,15,0.19985759258270264
drift,lambda_fixed_0.95,1,30,0.17167016863822937
drift,lambda_fixed_0.95,1,45,0.14633910357952118
drift,lambda_fixed_0.95,1,60,0.12294934689998627
drift,lambda_fixed_0.95,1,75,0.11919093132019043
drift,lambda_fixed_0.95,1,90,0.10862229764461517
drift,lambda_fixed_0.95,1,105,0.10221221297979355
drift,lambda_fixed_0.95,1,120,0.09636335074901581
drift,lambda_fixed_0.95,1,135,0.09023427218198776
drift,lambda_fixed_0.95,1,150,0.08742543309926987
drift,lambda_fixed_0.95,1,165,0.0944896936416626
drift,lambda_fixed_0.95,1,180,0.08606906235218048
drift,lambda_fixed_0.95,1,195,0.09049215167760849
drift,lambda_fixed_0.95,1,210,0.08517803996801376
drift,lambda_fixed_0.95,1,225,0.08947700262069702
drift,lambda_fixed_0.95,1,240,0.08362140506505966
drift,lambda_fixed_0.95,1,255,0.08422879874706268
drift,lambda_fixed_0.95,1,270,0.086848184466362
drift,lambda_fixed_0.95,1,285,0.08674504607915878
drift,lambda_fixed_0.95,1,300,0.08808382600545883
drift,lambda_fixed_0.95,1,315,0.08756070584058762
drift,lambda_fixed_0.95,1,330,0.08854951709508896
drift,lambda_fixed_0.95,1,345,0.08428351581096649
drift,lambda_fixed_0.95,1,360,0.08404239267110825
drift,lambda_fixed_0.8,1,1,0.2256571650505066
drift,lambda_fixed_0.8,1,15,0.19483771920204163
drift,lambda_fixed_0.8,1,30,0.180215522646904
drift,lambda_fixed_0.8,1,45,0.14884890615940094
drift,lambda_fixed_0.8,1,60,0.11087550222873688
drift,lambda_fixed_0.8,1,75,0.0973573625087738
drift,lambda_fixed_0.8,1,90,0.08194595575332642
drift,lambda_fixed_0.8,1,105,0.07508807629346848
drift,lambda_fixed_0.8,1,120,0.07210683822631836
drift,lambda_fixed_0.8,1,135,0.07369118183851242
drift,lambda_fixed_0.8,1,150,0.06338376551866531
drift,lambda_fixed_0.8,1,165,0.057853203266859055
drift,lambda_fixed_0.8,1,180,0.05991586297750473
drift,lambda_fixed_0.8,1,195,0.06067781150341034
drift,lambda_fixed_0.8,1,210,0.060145046561956406
drift,lambda_fixed_0.8,1,225,0.0546790175139904
drift,lambda_fixed_0.8,1,240,0.055885910987854004
drift,lambda_fixed_0.8,1,255,0.0563201978802681
drift,lambda_fixed_0.8,1,270,0.06303068995475769
drift,lambda_fixed_0.8,1,285,0.05842616409063339
drift,lambda_fixed_0.8,1,300,0.06003456562757492
drift,lambda_fixed_0.8,1,315,0.055871158838272095
drift,lambda_fixed_0.8,1,330,0.05469537898898125
drift,lambda_fixed_0.8,1,345,0.057436566799879074
drift,lambda_fixed_0.8,1,360,0.0586562417447567
drift,lambda_learned_cue,1,1,0.21610330045223236
drift,lambda_learned_cue,1,15,0.20358256995677948
drift,lambda_learned_cue,1,30,0.16824202239513397
drift,lambda_learned_cue,1,45,0.15047962963581085
drift,lambda_learned_cue,1,60,0.11911128461360931
drift,lambda_learned_cue,1,75,0.10393622517585754
drift,lambda_learned_cue,1,90,0.07896839827299118
drift,lambda_learned_cue,1,105,0.07035087794065475
drift,lambda_learned_cue,1,120,0.05933152884244919
drift,lambda_learned_cue,1,135,0.05481858178973198
drift,lambda_learned_cue,1,150,0.051554322242736816
drift,lambda_learned_cue,1,165,0.045567166060209274
drift,lambda_learned_cue,1,180,0.03856898099184036
drift,lambda_learned_cue,1,195,0.03525596112012863
drift,lambda_learned_cue,1,210,0.030144264921545982
drift,lambda_learned_cue,1,225,0.032653000205755234
drift,lambda_learned_cue,1,240,0.02704041451215744
drift,lambda_learned_cue,1,255,0.0291424673050642
drift,lambda_learned_cue,1,270,0.030325230211019516
drift,lambda_learned_cue,1,285,0.028419574722647667
drift,lambda_learned_cue,1,300,0.025490280240774155
drift,lambda_learned_cue,1,315,0.02929135411977768
drift,lambda_learned_cue,1,330,0.029080336913466454
drift,lambda_learned_cue,1,345,0.02619885466992855
drift,lambda_learned_cue,1,360,0.02498755231499672
drift,lambda_innovation_ablation,1,1,0.21643301844596863
drift,lambda_innovation_ablation,1,15,0.1896260678768158
drift,lambda_innovation_ablation,1,30,0.1682596504688263
drift,lambda_innovation_ablation,1,45,0.1428534984588623
drift,lambda_innovation_ablation,1,60,0.10716521739959717
drift,lambda_innovation_ablation,1,75,0.09528883546590805
drift,lambda_innovation_ablation,1,90,0.08216246962547302
drift,lambda_innovation_ablation,1,105,0.07294277846813202
drift,lambda_innovation_ablation,1,120,0.06388415396213531
drift,lambda_innovation_ablation,1,135,0.06739799678325653
drift,lambda_innovation_ablation,1,150,0.06309829652309418
drift,lambda_innovation_ablation,1,165,0.06508813798427582
drift,lambda_innovation_ablation,1,180,0.06368951499462128
drift,lambda_innovation_ablation,1,195,0.05852046608924866
drift,lambda_innovation_ablation,1,210,0.051142703741788864
drift,lambda_innovation_ablation,1,225,0.0573711171746254
drift,lambda_innovation_ablation,1,240,0.04951518028974533
drift,lambda_innovation_ablation,1,255,0.05104997009038925
drift,lambda_innovation_ablation,1,270,0.04764103144407272
drift,lambda_innovation_ablation,1,285,0.05011380836367607
drift,lambda_innovation_ablation,1,300,0.049466799944639206
drift,lambda_innovation_ablation,1,315,0.04952053725719452
drift,lambda_innovation_ablation,1,330,0.045833736658096313
drift,lambda_innovation_ablation,1,345,0.046476446092128754
drift,lambda_innovation_ablation,1,360,0.043573640286922455
drift,lambda_oracle_change,1,1,0.20861975848674774
drift,lambda_oracle_change,1,15,0.17046670615673065
drift,lambda_oracle_change,1,30,0.14496472477912903
drift,lambda_oracle_change,1,45,0.11421914398670197
drift,lambda_oracle_change,1,60,0.09472298622131348
drift,lambda_oracle_change,1,75,0.06834070384502411
drift,lambda_oracle_change,1,90,0.05058816820383072
drift,lambda_oracle_change,1,105,0.037878938019275665
drift,lambda_oracle_change,1,120,0.031055666506290436
drift,lambda_oracle_change,1,135,0.02504335157573223
drift,lambda_oracle_change,1,150,0.026213474571704865
drift,lambda_oracle_change,1,165,0.027295537292957306
drift,lambda_oracle_change,1,180,0.024804499000310898
drift,lambda_oracle_change,1,195,0.027487298473715782
drift,lambda_oracle_change,1,210,0.025441717356443405
drift,lambda_oracle_change,1,225,0.02596539631485939
drift,lambda_oracle_change,1,240,0.02530677244067192
drift,lambda_oracle_change,1,255,0.02959851548075676
drift,lambda_oracle_change,1,270,0.02463182434439659
drift,lambda_oracle_change,1,285,0.025005456060171127
drift,lambda_oracle_change,1,300,0.026410553604364395
drift,lambda_oracle_change,1,315,0.02709810994565487
drift,lambda_oracle_change,1,330,0.026363804936408997
drift,lambda_oracle_change,1,345,0.02585808001458645
drift,lambda_oracle_change,1,360,0.026315627619624138
drift,lambda_fixed_1,2,1,0.22294718027114868
drift,lambda_fixed_1,2,15,0.18989399075508118
drift,lambda_fixed_1,2,30,0.16510462760925293
drift,lambda_fixed_1,2,45,0.15277676284313202
drift,lambda_fixed_1,2,60,0.12894296646118164
drift,lambda_fixed_1,2,75,0.13552168011665344
drift,lambda_fixed_1,2,90,0.1213347315788269
drift,lambda_fixed_1,2,105,0.11545886844396591
drift,lambda_fixed_1,2,120,0.10682803392410278
drift,lambda_fixed_1,2,135,0.10323981940746307
drift,lambda_fixed_1,2,150,0.10606782138347626
drift,lambda_fixed_1,2,165,0.10505340993404388
drift,lambda_fixed_1,2,180,0.09964602440595627
drift,lambda_fixed_1,2,195,0.09794005751609802
drift,lambda_fixed_1,2,210,0.11242306232452393
drift,lambda_fixed_1,2,225,0.10150247067213058
drift,lambda_fixed_1,2,240,0.09788712114095688
drift,lambda_fixed_1,2,255,0.09756754338741302
drift,lambda_fixed_1,2,270,0.09813227504491806
drift,lambda_fixed_1,2,285,0.10378146171569824
drift,lambda_fixed_1,2,300,0.0974166989326477
drift,lambda_fixed_1,2,315,0.1022673100233078
drift,lambda_fixed_1,2,330,0.10188066959381104
drift,lambda_fixed_1,2,345,0.10194742679595947
drift,lambda_fixed_1,2,360,0.09987078607082367
drift,lambda_fixed_0.95,2,1,0.20666685700416565
drift,lambda_fixed_0.95,2,15,0.17194855213165283
drift,lambda_fixed_0.95,2,30,0.15434709191322327
drift,lambda_fixed_0.95,2,45,0.1250368058681488
drift,lambda_fixed_0.95,2,60,0.11867451667785645
drift,lambda_fixed_0.95,2,75,0.10397583246231079
drift,lambda_fixed_0.95,2,90,0.09661441296339035
drift,lambda_fixed_0.95,2,105,0.09816436469554901
drift,lambda_fixed_0.95,2,120,0.0925692543387413
drift,lambda_fixed_0.95,2,135,0.09298064559698105
drift,lambda_fixed_0.95,2,150,0.08201392740011215
drift,lambda_fixed_0.95,2,165,0.0919933170080185
drift,lambda_fixed_0.95,2,180,0.08712321519851685
drift,lambda_fixed_0.95,2,195,0.08370798826217651
drift,lambda_fixed_0.95,2,210,0.08470545709133148
drift,lambda_fixed_0.95,2,225,0.08778595924377441
drift,lambda_fixed_0.95,2,240,0.08888490498065948
drift,lambda_fixed_0.95,2,255,0.0899181067943573
drift,lambda_fixed_0.95,2,270,0.0877363383769989
drift,lambda_fixed_0.95,2,285,0.08884640038013458
drift,lambda_fixed_0.95,2,300,0.09317795932292938
drift,lambda_fixed_0.95,2,315,0.08538453280925751
drift,lambda_fixed_0.95,2,330,0.08808338642120361
drift,lambda_fixed_0.95,2,345,0.08521609008312225
drift,lambda_fixed_0.95,2,360,0.08803927898406982
drift,lambda_fixed_0.8,2,1,0.21283546090126038
drift,lambda_fixed_0.8,2,15,0.20379427075386047
drift,lambda_fixed_0.8,2,30,0.16442172229290009
drift,lambda_fixed_0.8,2,45,0.1257457733154297
drift,lambda_fixed_0.8,2,60,0.1108148992061615
drift,lambda_fixed_0.8,2,75,0.0912972092628479
drift,lambda_fixed_0.8,2,90,0.08181838691234589
drift,lambda_fixed_0.8,2,105,0.07590027153491974
drift,lambda_fixed_0.8,2,120,0.07530850172042847
drift,lambda_fixed_0.8,2,135,0.07182231545448303
drift,lambda_fixed_0.8,2,150,0.06704550981521606
drift,lambda_fixed_0.8,2,165,0.06143426150083542
drift,lambda_fixed_0.8,2,180,0.05884096026420593
drift,lambda_fixed_0.8,2,195,0.05759304016828537
drift,lambda_fixed_0.8,2,210,0.06155964732170105
drift,lambda_fixed_0.8,2,225,0.05496729910373688
drift,lambda_fixed_0.8,2,240,0.05633979290723801
drift,lambda_fixed_0.8,2,255,0.05490943044424057
drift,lambda_fixed_0.8,2,270,0.053884249180555344
drift,lambda_fixed_0.8,2,285,0.057109370827674866
drift,lambda_fixed_0.8,2,300,0.05235186964273453
drift,lambda_fixed_0.8,2,315,0.05943296104669571
drift,lambda_fixed_0.8,2,330,0.05909838527441025
drift,lambda_fixed_0.8,2,345,0.06087135523557663
drift,lambda_fixed_0.8,2,360,0.05927516520023346
drift,lambda_learned_cue,2,1,0.22758357226848602
drift,lambda_learned_cue,2,15,0.2072964310646057
drift,lambda_learned_cue,2,30,0.17524223029613495
drift,lambda_learned_cue,2,45,0.15498396754264832
drift,lambda_learned_cue,2,60,0.11936956644058228
drift,lambda_learned_cue,2,75,0.10752718150615692
drift,lambda_learned_cue,2,90,0.07513962686061859
drift,lambda_learned_cue,2,105,0.06127551198005676
drift,lambda_learned_cue,2,120,0.04822327941656113
drift,lambda_learned_cue,2,135,0.03724250942468643
drift,lambda_learned_cue,2,150,0.035986244678497314
drift,lambda_learned_cue,2,165,0.03297465294599533
drift,lambda_learned_cue,2,180,0.031498800963163376
drift,lambda_learned_cue,2,195,0.029959235340356827
drift,lambda_learned_cue,2,210,0.031632792204618454
drift,lambda_learned_cue,2,225,0.034414954483509064
drift,lambda_learned_cue,2,240,0.02743748389184475
drift,lambda_learned_cue,2,255,0.02764793299138546
drift,lambda_learned_cue,2,270,0.027276761829853058
drift,lambda_learned_cue,2,285,0.027074022218585014
drift,lambda_learned_cue,2,300,0.029894713312387466
drift,lambda_learned_cue,2,315,0.02848632261157036
drift,lambda_learned_cue,2,330,0.026141170412302017
drift,lambda_learned_cue,2,345,0.025706445798277855
