operation,sweep,sweep_value,activation_dtype,accumulation_dtype,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
construct_S_C,dimension_grid,128x32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 128, ""d_value"": 32}",0.19900433350509653,0.1768300001761721,0.15745223353326895,565624832,4.0,4.0,512,2572808.295086135,0.38868033887714165,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,128x64,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 128, ""d_value"": 64}",0.20530299965078788,0.2021476666413946,0.14946852599739588,566018048,4.0,4.0,512,2493874.9110869854,0.4009824211929451,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,128x128,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 128, ""d_value"": 128}",0.24529066649847664,0.24433533326373436,0.15395143536986494,567853056,4.0,4.0,512,2087319.5352631966,0.4790833330048372,0.0,0.0,0.0,0.0
construct_S_C,batch_size,1,torch.bfloat16,torch.float32,"{""batch_size"": 1, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.19660666718361122,0.17854100042313803,0.22845939116146144,430190592,4.0,4.0,128,651046.0801436639,1.5359895873719627,0.0,0.0,0.0,0.0
construct_S_C,batch_size,8,torch.bfloat16,torch.float32,"{""batch_size"": 8, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.16606200006208383,0.15533800008900775,0.18620353917694904,446791680,4.0,4.0,1024,6166371.59384548,0.16216992193562874,0.0,0.0,0.0,0.0
construct_S_C,batch_size,32,torch.bfloat16,torch.float32,"{""batch_size"": 32, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.1875829996909791,0.1719873331846126,0.18110260072007725,503709696,4.0,4.0,4096,21835667.447197653,0.045796630783930446,0.0,0.0,0.0,0.0
construct_S_C,sequence_length,32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 32, ""d_key"": 32, ""d_value"": 32}",0.16056566710176412,0.1519136664380009,0.19064197989501028,430288896,4.0,4.0,128,797181.6286160074,1.2544192742325322,0.0,0.0,0.0,0.0
construct_S_C,sequence_length,128,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.17699100014093952,0.15520566679091038,0.2498257364274913,437305344,4.0,4.0,512,2892802.4565785257,0.3456855471502725,0.0,0.0,0.0,0.0
construct_S_C,sequence_length,512,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 512, ""d_key"": 32, ""d_value"": 32}",0.18617333322860455,0.17662733383379722,0.20042161392653926,465371136,4.0,4.0,2048,11000501.331118327,0.09090494786552956,0.0,0.0,0.0,0.0
construct_S_C,heads,1,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 1, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.16068533356398498,0.1521413335770679,0.32582966704281835,430190592,4.0,4.0,512,3186351.7885788954,0.31383854211715817,0.0,0.0,0.0,0.0
construct_S_C,heads,8,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.199920667000697,0.19253233343382212,0.17178335964138722,446791680,4.0,4.0,512,2561015.865349304,0.3904700527357363,0.0,0.0,0.0,0.0
construct_S_C,heads,32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 32, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.17692466644803062,0.17110033331846353,0.1732800581293645,503709696,4.0,4.0,512,2893887.0440114327,0.3455559891563098,0.0,0.0,0.0,0.0
construct_S_C,dtype,fp32_all,torch.float32,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.13855600021391487,0.13125933340537208,0.25578396980460627,437166080,3.0,3.0,512,3695256.7857727534,0.2706171879178025,0.0,0.0,0.0,0.0
construct_S_C,dtype,bf16_act_fp32_state,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.17880299977453737,0.17341633368535744,0.23829151684848154,437305344,4.0,4.0,512,2863486.6341482485,0.3492246089346433,0.0,0.0,0.0,0.0
construct_S_C,dtype,fp16_act_fp32_state,torch.float16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.17240199971032175,0.16968500009776713,0.15623262148668982,437305344,4.0,4.0,512,2969803.1395244105,0.33672265568422216,0.0,0.0,0.0,0.0
construct_S_C,dtype,fp64_all,torch.float64,torch.float64,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.13472599979043784,0.13141533357459897,0.2542714276034495,446513152,3.0,3.0,512,3800305.8117690743,0.2631367183406989,0.0,0.0,0.0,0.0
